Generation,cores,pop,GenerationFitness,GenerationTime
1,1,10,9,3,
2,1,10,14,2,
3,1,10,14,1,
4,1,10,14,0,
5,1,10,14,0,
6,1,10,17,0,
7,1,10,17,0,
8,1,10,17,0,
9,1,10,17,0,
10,1,10,17,0,
11,1,10,20,0,
12,1,10,20,0,
13,1,10,28,0,
14,1,10,28,0,
15,1,10,28,0,
16,1,10,28,0,
17,1,10,28,0,
18,1,10,28,0,
19,1,10,28,0,
20,1,10,28,0,
21,1,10,28,0,
22,1,10,28,0,
23,1,10,29,0,
24,1,10,29,0,
25,1,10,29,0,
26,1,10,30,0,
27,1,10,30,0,
28,1,10,30,0,
29,1,10,30,0,
30,1,10,30,0,
1,1,10,1,2,
2,1,10,2,1,
3,1,10,3,0,
4,1,10,3,0,
5,1,10,3,0,
6,1,10,3,0,
7,1,10,4,0,
8,1,10,4,0,
9,1,10,4,0,
10,1,10,4,0,
11,1,10,4,0,
12,1,10,4,0,
13,1,10,4,0,
14,1,10,4,0,
15,1,10,4,0,
16,1,10,4,0,
17,1,10,4,0,
18,1,10,4,0,
19,1,10,4,0,
20,1,10,4,0,
21,1,10,4,0,
22,1,10,4,0,
23,1,10,5,0,
24,1,10,5,0,
25,1,10,5,0,
26,1,10,5,0,
27,1,10,5,0,
28,1,10,5,0,
29,1,10,5,0,
30,1,10,5,0,
1,1,10,7,2,
2,1,10,8,0,
3,1,10,8,0,
4,1,10,11,0,
5,1,10,11,0,
6,1,10,11,0,
7,1,10,11,0,
8,1,10,12,0,
9,1,10,12,0,
10,1,10,12,0,
11,1,10,12,0,
12,1,10,12,0,
13,1,10,12,0,
14,1,10,12,0,
15,1,10,12,0,
16,1,10,12,0,
17,1,10,13,0,
18,1,10,13,0,
19,1,10,13,0,
20,1,10,13,0,
21,1,10,13,0,
22,1,10,13,0,
23,1,10,13,0,
24,1,10,13,0,
25,1,10,13,0,
26,1,10,13,0,
27,1,10,13,0,
28,1,10,13,0,
29,1,10,13,0,
30,1,10,13,0,
1,1,10,4,1,
2,1,10,7,0,
3,1,10,7,0,
4,1,10,8,0,
5,1,10,8,0,
6,1,10,11,0,
7,1,10,11,0,
8,1,10,14,0,
9,1,10,14,0,
10,1,10,14,0,
11,1,10,16,0,
12,1,10,16,0,
13,1,10,16,0,
14,1,10,17,0,
15,1,10,17,0,
16,1,10,37,0,
17,1,10,40,0,
18,1,10,60,0,
19,1,10,60,0,
20,1,10,60,1,
21,1,10,60,0,
22,1,10,60,0,
23,1,10,60,0,
24,1,10,60,0,
25,1,10,60,1,
26,1,10,60,0,
27,1,10,62,0,
28,1,10,62,0,
29,1,10,67,1,
30,1,10,91,0,
1,1,10,1,3,
2,1,10,1,2,
3,1,10,2,1,
4,1,10,2,0,
5,1,10,2,0,
6,1,10,2,0,
7,1,10,2,0,
8,1,10,2,0,
9,1,10,2,0,
10,1,10,2,0,
11,1,10,2,0,
12,1,10,2,0,
13,1,10,2,0,
14,1,10,2,0,
15,1,10,2,1,
16,1,10,2,0,
17,1,10,2,0,
18,1,10,2,0,
19,1,10,3,0,
20,1,10,3,0,
21,1,10,6,0,
22,1,10,6,1,
23,1,10,6,0,
24,1,10,6,0,
25,1,10,6,0,
26,1,10,6,0,
27,1,10,6,0,
28,1,10,6,0,
29,1,10,6,0,
30,1,10,6,0,
1,1,30,19,7,
2,1,30,101,3,
3,1,30,197,2,
4,1,30,361,5,
5,1,30,1536,13,
6,1,30,1641,29,
7,1,30,1641,32,
8,1,30,1812,44,
9,1,30,1812,43,
10,1,30,1812,41,
11,1,30,2070,47,
12,1,30,2070,45,
13,1,30,2070,44,
14,1,30,2070,44,
15,1,30,2288,51,
16,1,30,2288,48,
17,1,30,2288,43,
18,1,30,2288,43,
19,1,30,2288,44,
20,1,30,2288,48,
21,1,30,2457,56,
22,1,30,3897,67,
23,1,30,4937,85,
24,1,30,5139,116,
25,1,30,7453,132,
26,1,30,8821,190,
27,1,30,10708,254,
28,1,30,10708,268,
29,1,30,10708,252,
30,1,30,12069,229,
1,1,30,21,6,
2,1,30,21,3,
3,1,30,38,1,
4,1,30,38,1,
5,1,30,63,2,
6,1,30,63,1,
7,1,30,82,2,
8,1,30,90,3,
9,1,30,875,4,
10,1,30,1103,12,
11,1,30,1103,27,
12,1,30,1505,28,
13,1,30,1505,30,
14,1,30,1505,31,
15,1,30,1887,42,
16,1,30,1887,35,
17,1,30,2065,42,
18,1,30,2065,52,
19,1,30,2137,46,
20,1,30,2137,44,
21,1,30,2137,52,
22,1,30,2137,44,
23,1,30,2137,50,
24,1,30,2137,46,
25,1,30,2319,50,
26,1,30,2319,56,
27,1,30,3109,60,
28,1,30,3109,85,
29,1,30,3349,67,
30,1,30,3638,74,
1,1,30,35,8,
2,1,30,48,2,
3,1,30,48,2,
